Lp,Numer rejestracyjny,Wnioskodawca,Tytuł projektu,Kwota,Data przyznania,Konkurs,Moduł
14,SONP/SP/464576/2020,Centrum Nauki Kopernik w Warszawie,Popularyzacja nauki poprzez organizację 24. i 25. Pikniku Naukowego w latach 2020-2021,1000000,2020-05-07,SON I konkurs I,Popularyzacja
15,SONP/SP/461785/2020,Centrum Nowoczesności Młyn Wiedzy,Projekty badawcze w CNMW dla każdego!,40850,2020-05-07,SON I konkurs I,Popularyzacja
16,SONP/SN/461373/2020,Europejska Fundacja Kosmiczna,European Rover Challenge 2020/2021,1000000,2020-05-07,SON I konkurs I,Popularyzacja
17,SONP/SN/464188/2020,Fundacja Adeptów i Miłośników Ekonomii (FAME),Optymalne planowanie w cyklu życia - popularyzacja dorobku nauki,45000,2020-05-07,SON I konkurs I,Popularyzacja
18,SONP/SN/467346/2020,Fundacja Alegoria,Platforma Nauki,872500,2020-05-07,SON I konkurs I,Popularyzacja
19,SONP/SN/464214/2020,Fundacja BioEdukacji,"""Linia boczna"" - spektakl Teatru Naukowego im. profesora Macieja Gellera",94050,2020-05-07,SON I konkurs I,Popularyzacja
20,SONP/SN/466117/2020,Fundacja Centrum Kopernika,Otwarta Nauka w Centrum Kopernika,619764.37,2020-05-07,SON I konkurs I,Popularyzacja
21,SONP/SN/466354/2020,Fundacja Centrum Kopernika,Copernicus Festival 2020: Czas,353000,2020-05-07,SON I konkurs I,Popularyzacja
22,SONP/SN/465454/2020,Fundacja dla Gdańska i Pomorza,Złota Jesień Seniora - Z wiedzą przez życie.,358072,2020-05-07,SON I konkurs I,Popularyzacja
23,SONP/SP/468520/2020,Fundacja dla Uniwersytetu Medycznego w Łodzi,Medyczny Uniwersytet Dziecięcy,75000,2020-05-07,SON I konkurs I,Popularyzacja
24,SONP/SN/463810/2020,Fundacja Eureka im. prof. Jerzego Stelmacha,Nowoczesne generacje reaktorów jądrowych a ochrona klimatu.,40000,2020-05-07,SON I konkurs I,Popularyzacja
25,SONP/SP/467186/2020,Fundacja GPW,Inwestowanie to Wyzwanie – Upowszechnianie dorobku nauki w dziedzinie edukacji ekonomicznej,611697,2020-05-07,SON I konkurs I,Popularyzacja
26,SONP/SN/468411/2020,Fundacja Historia i Kultura,"""Współczesna obrona narodowa""",20500,2020-05-07,SON I konkurs I,Popularyzacja
27,SONP/SN/463884/2020,Fundacja ICHB PAN,Patenty ICHB PAN dla gospodarki,21250,2020-05-07,SON I konkurs I,Popularyzacja
28,SONP/SN/462494/2020,Fundacja Impact,Science for society – rola nauki i technologii w rozwoju i poprawie jakości życia społeczeństwa,835650,2020-05-07,SON I konkurs I,Popularyzacja
29,SONP/SP/468778/2020,Fundacja Marcelego Nenckiego wspierania nauk biologicznych,Tydzien Mózgu przez cały rok,40600,2020-05-07,SON I konkurs I,Popularyzacja
30,SONP/SN/468026/2020,Fundacja Nicolaus Copernicus,Pod niebem Kopernika,128000,2020-05-07,SON I konkurs I,Popularyzacja
31,SONP/SN/468837/2020,Fundacja Nicolaus Copernicus,Ekonomia Kopernika,295000,2020-05-07,SON I konkurs I,Popularyzacja
32,SONP/SN/463186/2020,Fundacja Polskiej Agencji Prasowej,"""Serwis Nauka w Polsce - prowadzenie i rozwój""",999500,2020-05-07,SON I konkurs I,Popularyzacja
33,SONP/SN/461615/2020,Fundacja Rozwoju Uniwersytetu Gdańskiego,"Klimat dla Nauki. Doświadczaj, poznaj, zrozum - pikniki naukowe",297000,2020-05-07,SON I konkurs I,Popularyzacja
34,SONP/SN/462190/2020,Fundacja Rozwoju Uniwersytetu Kardynała Stefana Wyszyńskiego w Warszawie,Uniwersytet Młodego Badacza,220500,2020-05-07,SON I konkurs I,Popularyzacja
35,SONP/SN/469842/2020,Fundacja Rozwój Zbyszewic,Nauka przez całe życie-Uniwersytety Trzeciego Wieku przyszłością nauki,750000,2020-05-07,SON I konkurs I,Popularyzacja
36,SONP/SN/461681/2020,Fundacja Slawistyczna,VI Bukowiński Festiwal Nauki,28380,2020-05-07,SON I konkurs I,Popularyzacja
