Lp,Numer rejestracyjny,Wnioskodawca,Tytuł projektu,Kwota,Data przyznania,Konkurs,Moduł
155,SONP/SP/514547/2021,Uniwersytet Jagielloński,O nauce w sposób popularny ... - cykl zajęć dla uczniów przyszłych studentów nauk przyrodniczych,38000,2021-12-31,SON I konkurs II,Popularyzacja
156,SONP/SP/514180/2021,Uniwersytet Jana Kochanowskiego w Kielcach,Noc Biologów,166772,2021-12-31,SON I konkurs II,Popularyzacja
157,SONP/SP/514307/2021,Uniwersytet Jana Kochanowskiego w Kielcach,Nauka Bliżej Ciebie,24000,2021-12-31,SON I konkurs II,Popularyzacja
158,SONP/SP/511946/2021,Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,VI Ogólnopolski Konkurs Prawa Kanonicznego dla Uczniów Szkół Ponadpodstawowych,46090,2021-12-31,SON I konkurs II,Popularyzacja
159,SONP/SP/513387/2021,Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,"Prawo nowych technologii - drony, elektromobilność. Innowacja, rozwój, bezpieczeństwo",236906,2021-12-31,SON I konkurs II,Popularyzacja
160,SONP/SP/511977/2021,Uniwersytet Kazimierza Wielkiego,Bydgoski Festiwal Nauki,355080,2021-12-31,SON I konkurs II,Popularyzacja
161,SONP/SP/514138/2021,Uniwersytet Łódzki,Debaty azjatyckie Uniwersytetu Łódzkiego,45665.4,2021-12-31,SON I konkurs II,Popularyzacja
162,SONP/SP/515118/2021,Uniwersytet Łódzki,Nauka sztuki - sztuka nauki.,55550,2021-12-31,SON I konkurs II,Popularyzacja
163,SONP/SP/513856/2021,Uniwersytet Łódzki,Trenuj z UŁ! Biegiem po zdrowie,132179,2021-12-31,SON I konkurs II,Popularyzacja
164,SONP/SP/515322/2021,Uniwersytet Łódzki,Podcast i seria wykładów “Przemyśleć demokrację”,74300,2021-12-31,SON I konkurs II,Popularyzacja
165,SONP/SP/514567/2021,Uniwersytet Marii Curie-Skłodowskiej w Lublinie,Społeczna Odpowiedzialność Nauki - Bądź bezpieczny w sieci z UMCS,91289,2021-12-31,SON I konkurs II,Popularyzacja
166,SONP/SP/513872/2021,Uniwersytet Marii Curie-Skłodowskiej w Lublinie,Prezentacja nauki to sztuka. Popularyzacja wyników badań na festiwalu Noc Kultury w Lublinie,100000,2021-12-31,SON I konkurs II,Popularyzacja
167,SONP/SP/514019/2021,Uniwersytet Marii Curie-Skłodowskiej w Lublinie,Ucz się z MaFiI-ą 2,100000,2021-12-31,SON I konkurs II,Popularyzacja
168,SONP/SP/514023/2021,Uniwersytet Marii Curie-Skłodowskiej w Lublinie,Nauka dla edukacji - Centrum Transferu Wiedzy Psychologicznej w UMCS,179850,2021-12-31,SON I konkurs II,Popularyzacja
169,SONP/SP/513734/2021,Uniwersytet Medyczny w Białymstoku,UMB to MY - Opowiem Ci swoją historię,67900,2021-12-31,SON I konkurs II,Popularyzacja
